model_name,slice_dimension,slice_value,rows,WAPE,Bias
MOVING_AVERAGE_3,shutdown_flag,False,1052,0.1790422968992781,-0.06576414550330982
MOVING_AVERAGE_3,shutdown_flag,True,100,0.1725979014439281,-0.1460590548585657
SEASONAL_NAIVE,shutdown_flag,False,1052,0.1683902789700823,-0.041634417119872404
SEASONAL_NAIVE,shutdown_flag,True,100,0.2202738991123583,-0.151842082667578
CONV1D_ATTENTION_GLOBAL,supplier_disruption_flag,False,1072,0.15113607166834822,0.048577861368289184
CONV1D_ATTENTION_GLOBAL,supplier_disruption_flag,True,80,0.21729966499382122,-0.1849169782087535
CROSTON_SBA,supplier_disruption_flag,False,1072,0.1898379713379441,0.11577621732413605
CROSTON_SBA,supplier_disruption_flag,True,80,0.21074098156049983,-0.11822261203728406
ETS_A_N_A,supplier_disruption_flag,False,1072,0.15140287659026425,0.01435198879061204
ETS_A_N_A,supplier_disruption_flag,True,80,0.27167842336787446,-0.24439634559255985
EXTRA_TREES,supplier_disruption_flag,False,1072,0.11543335884662165,-0.0027649228797448364
EXTRA_TREES,supplier_disruption_flag,True,80,0.25721700911663137,-0.2537754841523641
EXTRA_TREES_DAMPED_TREND,supplier_disruption_flag,False,1072,0.13216187817450936,-0.0022277976168745056
EXTRA_TREES_DAMPED_TREND,supplier_disruption_flag,True,80,0.2525021788896091,-0.24516326275126682
EXTRA_TREES_RESPONSIVE,supplier_disruption_flag,False,1072,0.11778638865917919,-0.0008067485451501223
EXTRA_TREES_RESPONSIVE,supplier_disruption_flag,True,80,0.25399210955452867,-0.24452296212287772
LIGHTGBM,supplier_disruption_flag,False,1072,0.1281260976293993,0.010400687175615871
LIGHTGBM,supplier_disruption_flag,True,80,0.24919120760036417,-0.23247889991422835
MOVING_AVERAGE_3,supplier_disruption_flag,False,1072,0.1707352284723418,-0.05990881195089185
MOVING_AVERAGE_3,supplier_disruption_flag,True,80,0.2770483313409537,-0.2712726374599182
SEASONAL_NAIVE,supplier_disruption_flag,False,1072,0.16474599545068433,-0.03591146579491573
SEASONAL_NAIVE,supplier_disruption_flag,True,80,0.29936615741192446,-0.2935189503575245
